BJD-2454833.0,raw,ost_decorr,ost_tfa,err
2064.94272707,12.91718,12.91253,12.912548,0.00108
2064.96315918,12.91625,12.91259,12.91274,0.00102
2064.98359139,12.91608,12.91274,12.913074,0.00101
2065.0040234,12.91555,12.91236,12.912774,0.00097
2065.02445551,12.91635,12.91301,12.91315,0.001
2065.04488772,12.91596,12.91311,12.913395,0.00097
2065.06531973,12.9164,12.91357,12.913597,0.00097
2065.08575183,12.91635,12.91409,12.913692,0.00098
2065.10618404,12.9165,12.91413,12.913546,0.00099
2065.12661605,12.91592,12.91366,12.913624,0.00096
2065.14704815,12.91453,12.91298,12.913289,0.00091
2065.16748036,12.91304,12.91024,12.91282,0.00097
2065.18791237,12.91379,12.91297,12.913142,0.00092
2065.20834457,12.91325,12.91316,12.913212,0.00092
2065.22877668,12.91319,12.91334,12.913146,0.00092
2065.24920868,12.91276,12.91312,12.912856,0.00091
2065.26964088,12.91278,12.91317,12.912826,0.0009
2065.29007299,12.91233,12.91311,12.913354,0.00093
2065.31050509,12.91126,12.91111,12.91308,0.00081
2065.33093719,12.91206,12.91327,12.913628,0.00088
2065.3513693,12.91212,12.91336,12.91372,0.00088
2065.3718014,12.91196,12.91331,12.913326,0.00088
2065.3922335,12.91164,12.91328,12.913418,0.0009
2065.4126656,12.91322,12.91411,12.913651,0.00089
2065.4330977,12.91118,12.91319,12.913297,0.00089
2065.4535298,12.91116,12.91317,12.91347,0.00088
2065.4739619,12.9109,12.9129,12.912917,0.00085
2065.4943939,12.91122,12.91325,12.912934,0.00086
2065.5148261,12.91154,12.91358,12.913141,0.00086
2065.5352582,12.91177,12.91379,12.913086,0.00083
2065.55569019,12.91089,12.91292,12.913186,0.00079
2065.57612239,12.91036,12.91236,12.913215,0.00071
2065.59655449,12.91094,12.91293,12.91327,0.00071
2065.61698649,12.91574,12.9127,12.912986,0.00085
2065.63741868,12.91618,12.91155,12.9129,0.0011
2065.65785078,12.91778,12.91228,12.911768,0.00107
2065.67828297,12.91836,12.9132,12.912075,0.00111
2065.69871497,12.91762,12.91294,12.912171,0.00105
2065.71914706,12.91677,12.91245,12.912351,0.00103
2065.73957926,12.91624,12.91231,12.912613,0.00098
2065.76001125,12.9162,12.9129,12.912774,0.00101
2065.78044334,12.91583,12.91267,12.912305,0.00101
2065.80087554,12.91487,12.91238,12.91239,0.00098
2065.82130763,12.91468,12.91243,12.912586,0.00097
2065.84173962,12.91459,12.91282,12.912366,0.00097
2065.86217181,12.91324,12.91235,12.912504,0.00091
2065.8826039,12.91164,12.90931,12.911548,0.00097
2065.90303589,12.91165,12.91253,12.912682,0.0009
2065.92346808,12.91107,12.91208,12.912434,0.00088
2065.94390017,12.9108,12.91211,12.912122,0.00092
2065.96433216,12.90954,12.91132,12.911855,0.00089
2065.98476435,12.90983,12.91189,12.912021,0.0009
2066.00519644,12.9092,12.91169,12.912301,0.00087
2066.02562843,12.90935,12.91195,12.912433,0.00086
2066.04606062,12.909,12.91156,12.912123,0.00086
2066.06649271,12.9086,12.91109,12.912026,0.00078
2066.08692489,12.90845,12.91095,12.911831,0.00074
2066.12778897,12.90972,12.91241,12.912438,0.00091
2066.14822105,12.90976,12.91244,12.912469,0.00088
2066.16865314,12.9099,12.91258,12.912748,0.0009
2066.18908522,12.90975,12.9124,12.912533,0.00084
2066.20951731,12.90962,12.91228,12.912346,0.00084
2066.22994939,12.90974,12.91235,12.912504,0.00077
2066.25038147,12.91024,12.91286,12.912672,0.00076
2066.27081356,12.90943,12.91205,12.911652,0.00076
2066.29124564,12.90989,12.91251,12.91226,0.00075
2066.31167772,12.90982,12.91242,12.912268,0.00073
2066.3321099,12.90977,12.91234,12.912484,0.00066
2066.35254189,12.91328,12.91179,12.912856,0.00085
2066.37297397,12.9142,12.91202,12.912926,0.00097
2066.39340615,12.91431,12.91249,12.913004,0.00097
2066.41383813,12.91387,12.91231,12.912547,0.00097
2066.43427021,12.91315,12.91202,12.912275,0.00094
2066.45470239,12.91326,12.91218,12.912216,0.00097
2066.47513437,12.9136,12.91256,12.91244,0.00097
2066.49556644,12.9134,12.91287,12.912573,0.00094
2066.51599862,12.91281,12.91271,12.913062,0.00089
2066.5364306,12.91366,12.9136,12.912954,0.00094
2066.55686278,12.91267,12.91359,12.913314,0.00093
2066.57729485,12.91128,12.91304,12.913099,0.00092
2066.59772683,12.91183,12.91361,12.91332,0.00094
2066.61815901,12.91204,12.91393,12.913838,0.00092
2066.63859108,12.9105,12.91266,12.912796,0.00088
2066.65902316,12.91037,12.91282,12.913173,0.00089
2066.67945523,12.91035,12.91292,12.912815,0.0009
2066.69988731,12.90943,12.91247,12.912994,0.00083
2066.72031938,12.90878,12.91175,12.912371,0.0008
2066.74075145,12.90788,12.9108,12.911796,0.00072
2066.76118353,12.90941,12.91231,12.912055,0.00075
2066.7816156,12.9093,12.91217,12.912297,0.00071
2066.80204777,12.90991,12.91274,12.912553,0.00069
2066.82247975,12.90976,12.91258,12.912433,0.00065
2066.84291182,12.91476,12.91301,12.912804,0.00092
2066.86334389,12.91601,12.91382,12.912828,0.00104
2066.88377596,12.91435,12.91307,12.912678,0.00096
2066.90420803,12.91415,12.91335,12.912516,0.00092
2066.9246402,12.91402,12.91393,12.913271,0.00094
2066.94507217,12.91348,12.91417,12.913339,0.0009
2066.96550414,12.91268,12.914,12.913004,0.00091
2066.98593631,12.91171,12.91343,12.912686,0.00091
2067.00636837,12.91098,12.913,12.912058,0.00093
2067.02680054,12.91018,12.91246,12.912039,0.0009
2067.04723251,12.90962,12.91218,12.912079,0.00087
2067.06766458,12.90985,12.91255,12.912096,0.00088
2067.08809674,12.90972,12.91282,12.912579,0.00085
2067.10852871,12.90924,12.91231,12.912211,0.00085
2067.12896078,12.9101,12.91315,12.912429,0.00086
2067.14939294,12.91096,12.91394,12.912573,0.00085
2067.16982501,12.91022,12.91315,12.912888,0.00078
2067.19025697,12.9106,12.91349,12.913445,0.00071
2067.21068913,12.91112,12.91397,12.913522,0.0007
2067.2311212,12.91096,12.91379,12.913607,0.0007
2067.25155316,12.91107,12.91387,12.913196,0.00067
2067.27198532,12.91021,12.91302,12.912936,0.00062
2067.29241739,12.90911,12.91199,12.912246,0.00054
2067.31284935,12.90939,12.9123,12.912203,0.00053
2067.33328151,12.91337,12.91241,12.912596,0.00085
2067.35371357,12.91481,12.91349,12.912762,0.00096
2067.37414553,12.91315,12.91282,12.912977,0.00089
2067.39457769,12.91331,12.91308,12.912395,0.00091
2067.41500975,12.91269,12.91329,12.912762,0.00088
2067.43544171,12.91142,12.91288,12.91287,0.00087
2067.45587387,12.91197,12.91361,12.913106,0.00089
2067.47630593,12.91116,12.9129,12.91257,0.00087
2067.49673809,12.91142,12.91229,12.912738,0.00083
2067.51717005,12.91128,12.91368,12.912932,0.00086
2067.5376021,12.91093,12.91347,12.913085,0.00086
2067.55803426,12.91083,12.91373,12.913522,0.00085
2067.57846622,12.91097,12.91382,12.913585,0.00083
2067.59889827,12.91031,12.91312,12.913466,0.00079
2067.61933033,12.9104,12.91314,12.912895,0.00077
2067.63976249,12.91046,12.91315,12.913105,0.00074
2067.66019444,12.9098,12.91243,12.912825,0.0007
2067.6806265,12.90929,12.91185,12.912709,0.00064
2067.70105855,12.90959,12.91211,12.912542,0.00063
2067.7214906,12.90927,12.91184,12.912623,0.00058
2067.74192276,12.90964,12.91225,12.912735,0.00057
2067.76235471,12.90957,12.91222,12.912517,0.00053
2067.78278676,12.90988,12.91258,12.91254,0.00047
2067.80321892,12.90924,12.91199,12.912797,0.00042
2067.82365087,12.91107,12.90983,12.912327,0.00079
2067.84408292,12.912,12.91247,12.91256,0.00086
2067.86451507,12.91238,12.91311,12.913113,0.00086
2067.88494702,12.91256,12.91385,12.913305,0.00091
2067.90537917,12.90998,12.90998,12.912413,0.0008
2067.92581122,12.91097,12.91284,12.912862,0.00086
2067.94624317,12.91109,12.91295,12.912928,0.00086
2067.96667532,12.91031,12.91274,12.913186,0.00084
2067.98710737,12.90974,12.91231,12.912544,0.00084
2068.00753942,12.9101,12.91258,12.912584,0.00082
2068.02797146,12.91009,12.91257,12.912547,0.00082
2068.04840351,12.91006,12.91248,12.912675,0.00079
2068.10969965,12.91705,12.91231,12.912524,0.00109
2068.1301317,12.91741,12.91212,12.912258,0.00107
2068.15056384,12.91694,12.91192,12.912662,0.00111
2068.17099579,12.91728,12.91241,12.912747,0.00105
2068.19142783,12.91688,12.91244,12.912469,0.00103
2068.21185998,12.91718,12.91291,12.912496,0.00103
2068.23229192,12.91741,12.91337,12.912545,0.00105
2068.25272396,12.91617,12.91256,12.912568,0.00103
2068.27315611,12.91647,12.91316,12.912697,0.00103
2068.29358805,12.91532,12.9128,12.912749,0.00097
2068.31402009,12.91461,12.91268,12.912606,0.00096
2068.33445223,12.91366,12.91237,12.912522,0.0009
2068.35488417,12.91248,12.91197,12.912746,0.00087
2068.37531631,12.91232,12.91224,12.912791,0.00087
2068.39574826,12.91253,12.91269,12.912635,0.0009
2068.4161803,12.91267,12.91323,12.912898,0.00093
2068.43661243,12.91207,12.91301,12.912853,0.00093
2068.45704437,12.91196,12.91299,12.912777,0.00093
2068.47747641,12.91024,12.91041,12.91284,0.00082
2068.49790855,12.91014,12.91073,12.913504,0.0008
2068.51834049,12.91117,12.91293,12.912728,0.00088
2068.53877253,12.9111,12.91294,12.9128,0.00088
2068.55920467,12.91123,12.91329,12.913149,0.00088
2068.5796367,12.91102,12.91316,12.913112,0.00086
2068.60006864,12.91058,12.91267,12.912442,0.00084
2068.62050077,12.91121,12.91323,12.912211,0.00086
2068.64093281,12.91035,12.91232,12.912859,0.00074
2068.66136475,12.91026,12.91222,12.912562,0.00073
2068.68179688,12.90982,12.91171,12.912268,0.00069
2068.70222892,12.90972,12.91157,12.912924,0.00063
2068.72266085,12.91025,12.91207,12.912791,0.00063
2068.74309298,12.9102,12.91199,12.912859,0.00064
2068.76352502,12.91154,12.91331,12.913058,0.00067
2068.78395715,12.91123,12.91305,12.912886,0.00065
2068.80438908,12.91646,12.91257,12.912539,0.00094
2068.82482111,12.91782,12.91342,12.91251,0.00106
2068.84525325,12.91665,12.91265,12.912288,0.00103
2068.86568518,12.91574,12.91224,12.912143,0.00101
2068.88611721,12.91356,12.9112,12.911955,0.00094
2068.90654934,12.91408,12.91166,12.911638,0.00097
2068.92698127,12.91362,12.91184,12.911704,0.00094
2068.9474133,12.91361,12.91249,12.912072,0.00093
2068.96784543,12.91203,12.90964,12.911828,0.00096
2068.98827746,12.91314,12.91286,12.912734,0.0009
2069.00870939,12.91215,12.91279,12.912737,0.00091
2069.02914151,12.91214,12.91293,12.91281,0.00091
2069.04957354,12.91168,12.91266,12.912827,0.0009
2069.07000547,12.91161,12.91268,12.912388,0.00091
2069.0904376,12.91077,12.91219,12.912245,0.00085
2069.11086952,12.91065,12.91261,12.912859,0.00086
2069.13130155,12.9105,12.91245,12.912649,0.00085
2069.15173367,12.9106,12.91251,12.912479,0.00085
2069.1721657,12.91085,12.91267,12.912774,0.00076
2069.19259762,12.91,12.91179,12.912349,0.00071
2069.21302975,12.91125,12.91302,12.912863,0.00072
2069.23346167,12.91092,12.91265,12.913005,0.00068
2069.2538938,12.91132,12.91304,12.913044,0.00065
2069.27432582,12.9116,12.91331,12.912828,0.00064
2069.29475774,12.9121,12.91268,12.912424,0.00088
2069.31518987,12.91106,12.91192,12.912379,0.00086
2069.33562189,12.91038,12.91159,12.912224,0.00082
2069.35605381,12.91041,12.91204,12.912755,0.00082
2069.37648593,12.91063,12.91254,12.912669,0.00084
2069.39691795,12.91087,12.91288,12.912397,0.00087
2069.41734997,12.91062,12.91255,12.912437,0.00083
2069.43778199,12.91009,12.91192,12.911417,0.00073
2069.45821401,12.911,12.91281,12.912844,0.00071
2069.47864603,12.91102,12.91282,12.912326,0.00071
2069.49907805,12.91193,12.91369,12.912455,0.00068
2069.51951007,12.9114,12.91323,12.913193,0.00062
2069.53994209,12.91305,12.91358,12.9128,0.00079
2069.56037421,12.91531,12.91299,12.912852,0.00092
2069.58080612,12.91469,12.91312,12.91259,0.0009
2069.60123814,12.91421,12.91369,12.913192,0.00088
2069.62167026,12.91325,12.91351,12.912888,0.00086
2069.64210217,12.91346,12.9142,12.913065,0.00089
2069.66253429,12.91362,12.91447,12.913222,0.00091
2069.68296631,12.91299,12.91427,12.913289,0.00088
2069.70339822,12.91131,12.91339,12.913408,0.00082
2069.72383034,12.91206,12.91416,12.913653,0.00084
2069.74426235,12.91193,12.91399,12.913257,0.00082
2069.76469426,12.91195,12.91398,12.91375,0.00075
2069.78512638,12.91207,12.91407,12.913279,0.00074
2069.80555839,12.91217,12.91414,12.913446,0.00071
2069.8259903,12.91188,12.91381,12.913888,0.00064
2069.84642242,12.91236,12.91434,12.913871,0.0006
2069.86685433,12.91117,12.91323,12.913136,0.00055
2069.88728644,12.91204,12.91419,12.913119,0.00049
2069.90771845,12.9123,12.91454,12.91358,0.00044
2069.92815046,12.91072,12.91308,12.91269,0.0004
2069.94858237,12.91026,12.91326,12.912991,0.00042
2069.96901448,12.90854,12.91235,12.912155,0.00045
2069.98944649,12.9073,12.91235,12.912073,0.0005
2070.0098784,12.90752,12.9134,12.913799,0.00053
2070.05074252,12.91657,12.91211,12.912882,0.00089
2070.07117463,12.91761,12.91297,12.913081,0.001
2070.09160653,12.916,12.91208,12.912422,0.00096
2070.11203854,12.91499,12.91195,12.912735,0.00093
